city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Srednekolymsk,67.45,153.68,25.34,93,100,2.26,RU,1587672228
85,Saint Paul Harbor,57.79,-152.41,44.6,87,90,10.29,US,1587672228
86,Tiksi,71.69,128.87,19.89,97,100,1.83,RU,1587672228
87,Kloulklubed,7.04,134.26,78.8,94,90,11.41,PW,1587672229
88,Lac-Mégantic,45.58,-70.88,39.99,38,0,14.0,CA,1587672229
89,Kahului,20.89,-156.47,80.6,57,20,18.34,US,1587672229
90,Barsovo,61.17,73.17,41.0,80,40,11.18,RU,1587672229
91,Nikki,9.94,3.21,80.06,60,100,9.01,BJ,1587672229
92,Luanda,-8.84,13.23,82.4,83,40,12.75,AO,1587672229
93,Sur,22.57,59.53,83.48,50,92,8.75,OM,1587672229
94,Yar-Sale,66.83,70.83,24.28,94,96,22.55,RU,1587672230
95,Avarua,-21.21,-159.78,82.4,74,28,10.29,CK,1587672130
96,Rawson,-43.3,-65.1,64.45,66,99,18.9,AR,1587672230
97,Erzin,36.96,36.2,61.0,91,52,3.13,TR,1587672230
98,Torbay,47.67,-52.73,39.2,60,75,23.04,CA,1587672230
99,Zhangye,38.93,100.45,40.66,25,78,2.13,CN,1587672230
100,Hithadhoo,-0.6,73.08,83.52,73,100,9.42,MV,1587672132
101,Saint-Pierre,-21.34,55.48,75.2,78,40,6.93,RE,1587672231
102,Muroto-misakicho,33.28,134.15,50.16,57,9,9.01,JP,1587672231
103,Praia,14.92,-23.51,75.2,57,75,20.8,CV,1587672231
104,Lagdo,9.05,13.73,95.0,34,35,3.36,CM,1587672231
105,Marabba,12.35,32.18,77.32,14,98,2.04,SD,1587672231
106,Thompson,55.74,-97.86,35.6,74,90,5.82,CA,1587672083
107,Marystown,47.17,-55.15,33.84,86,78,20.27,CA,1587672232
108,Lebu,-37.62,-73.65,57.45,84,98,16.8,CL,1587672232
109,Puerto Ayora,-0.74,-90.35,87.8,62,20,19.46,EC,1587672232
110,Yeppoon,-23.13,150.73,68.0,88,3,1.12,AU,1587672232
111,Cidreira,-30.18,-50.21,69.78,80,0,11.95,BR,1587672233
112,Grindavik,63.84,-22.43,44.6,81,75,17.22,IS,1587672233
113,Yellowknife,62.46,-114.35,24.8,53,75,6.93,CA,1587672233
114,Nhulunbuy,-12.23,136.77,78.8,83,99,6.93,AU,1587672070
115,Port Blair,11.67,92.75,83.35,72,100,3.2,IN,1587672233
116,Nieuw Amsterdam,5.88,-55.08,79.0,88,40,6.93,SR,1587672234
117,Deputatsky,69.3,139.9,15.31,90,79,3.06,RU,1587672234
118,Sibu,2.3,111.82,77.0,94,75,2.24,MY,1587672234
119,Upernavik,72.79,-56.15,31.55,97,74,6.06,GL,1587672234
120,Provideniya,64.38,-173.3,26.6,63,13,4.47,RU,1587672234
121,Kontagora,10.4,5.47,90.0,33,91,3.11,NG,1587672235
122,Ribeira Grande,38.52,-28.7,62.6,72,40,2.24,PT,1587672235
123,Buraidah,26.33,43.98,78.8,44,0,6.93,SA,1587672235
124,Udachny,66.42,112.4,26.6,79,94,4.47,RU,1587672235
125,San Patricio,19.22,-104.7,86.0,74,40,9.17,MX,1587672235
126,Airai,-8.93,125.41,59.99,69,99,3.2,TL,1587672235
127,Hobart,-42.88,147.33,57.0,66,90,8.05,AU,1587672032
128,Cap-aux-Meules,47.38,-61.86,32.0,91,90,21.92,CA,1587672236
129,Pemba,-12.97,40.52,80.6,78,40,12.75,MZ,1587672236
130,Guerrero Negro,27.98,-114.06,82.13,32,1,14.25,MX,1587672236
131,Vanimo,-2.67,141.3,79.79,82,42,5.1,PG,1587672236
132,Nyrob,60.73,56.72,19.04,95,8,3.98,RU,1587672236
133,Almaznyy,48.04,40.05,46.4,75,0,6.71,RU,1587672236
134,College,64.86,-147.8,39.99,47,75,9.17,US,1587672236
135,Kaohsiung City,22.62,120.31,69.8,73,75,5.82,TW,1587672072
136,Aljezur,37.32,-8.8,66.0,67,100,7.18,PT,1587672237
137,Acaraú,-2.89,-40.12,78.17,89,76,5.57,BR,1587672237
138,Itaituba,-4.28,-55.98,89.6,62,40,8.05,BR,1587672045
139,Beşikdüzü,41.05,39.23,50.0,66,75,3.36,TR,1587672237
140,São Desidério,-12.36,-44.97,73.36,78,85,2.77,BR,1587672237
141,Stornoway,58.21,-6.39,51.8,66,0,3.36,GB,1587672238
142,Ambilobe,-13.2,49.05,74.52,88,99,1.61,MG,1587672238
143,Tawao,4.25,117.89,77.0,100,20,2.24,MY,1587672238
144,Bilibino,68.05,166.44,22.12,84,8,2.64,RU,1587672238
145,Hasaki,35.73,140.83,44.6,75,75,2.24,JP,1587672106
146,Tailai,46.38,123.4,36.14,72,97,10.74,CN,1587672238
147,Hilo,19.73,-155.09,79.0,61,90,9.17,US,1587672239
148,Riyadh,24.69,46.72,80.6,39,0,3.96,SA,1587672012
149,Sadasivpet,17.62,77.95,81.72,43,4,8.43,IN,1587672239
150,Iquitos,-3.75,-73.25,89.6,66,75,3.36,PE,1587672239
151,Reconquista,-29.15,-59.65,81.25,39,10,6.17,AR,1587672239
152,Fortuna,40.6,-124.16,62.01,93,90,8.05,US,1587672239
153,Paris,48.85,2.35,70.0,37,0,4.7,FR,1587671946
154,Laredo,27.51,-99.51,91.4,38,1,9.17,US,1587672173
155,Mount Gambier,-37.83,140.77,51.8,100,40,6.93,AU,1587672240
156,Norman Wells,65.28,-126.83,21.2,62,75,19.46,CA,1587672240
157,Hay River,60.82,-115.8,28.4,63,75,6.93,CA,1587672241
158,Andros Town,24.7,-77.77,84.2,54,75,17.22,BS,1587672241
159,Zhigansk,66.77,123.37,26.83,98,96,7.92,RU,1587672241
160,Alofi,-19.06,-169.92,80.6,94,54,3.36,NU,1587672241
161,Kedrovyy,56.17,91.82,69.8,18,85,8.95,RU,1587672241
162,Klaksvík,62.23,-6.59,44.6,87,76,4.7,FO,1587672242
163,Broome,42.25,-75.83,44.01,80,75,8.05,US,1587672242
164,Selçuk,37.95,27.37,59.0,51,75,13.87,TR,1587672242
165,Sept-Îles,50.2,-66.38,36.0,74,75,13.87,CA,1587672242
166,Sampit,-2.53,112.95,74.5,98,96,2.46,ID,1587672242
167,Albanel,48.88,-72.45,33.8,50,20,12.75,CA,1587672242
168,Kavieng,-2.57,150.8,82.85,71,85,1.34,PG,1587672242
169,Karpathos,35.51,27.21,57.2,71,100,21.92,GR,1587672243
170,Castro,-24.79,-50.01,59.27,48,0,1.14,BR,1587672243
171,Saint George,37.1,-113.58,79.0,21,1,14.99,US,1587672243
172,Kutum,14.2,24.67,68.97,12,71,6.89,SD,1587672243
173,Dingle,11.0,122.67,78.6,83,97,10.89,PH,1587672244
174,San Cristobal,7.77,-72.22,91.4,52,40,13.87,VE,1587672244
175,Codrington,-38.27,141.97,55.85,84,41,14.56,AU,1587672244
176,Sungai Udang,2.27,102.14,77.0,94,20,2.24,MY,1587672244
177,Huarmey,-10.07,-78.15,77.29,57,1,8.43,PE,1587672244
178,Khatanga,71.97,102.5,30.97,94,100,18.99,RU,1587672245
179,Boyolangu,-8.12,111.89,76.93,86,100,4.27,ID,1587672245
180,Lake Cowichan,48.83,-124.05,57.2,76,90,9.17,CA,1587672023
181,Carnarvon,-24.87,113.63,71.6,94,2,16.11,AU,1587672245
182,Fort Nelson,58.81,-122.7,51.8,39,90,8.05,CA,1587672023
183,East London,-33.02,27.91,69.71,71,99,4.07,ZA,1587672245
184,Gizo Government Station,-8.1,156.84,78.42,85,100,7.27,SB,1587672245
185,Arlit,18.74,7.39,91.67,11,2,5.84,NE,1587672246
186,Bluff,-46.6,168.33,46.0,91,79,3.0,NZ,1587672066
187,Zyryanka,65.75,150.85,25.61,94,100,5.61,RU,1587672246
188,Yangi Marg`ilon,40.43,71.72,68.0,34,3,6.93,UZ,1587672246
189,Dhidhdhoo,6.88,73.1,85.05,75,100,11.23,MV,1587672246
190,Donskoye,45.46,41.97,42.8,41,0,8.95,RU,1587672246
191,Asău,46.43,26.4,39.99,64,23,2.86,RO,1587672247
192,Westport,41.14,-73.36,48.0,45,90,8.05,US,1587672117
193,Cururupu,-1.83,-44.87,78.4,88,100,3.91,BR,1587672247
